target,ecoli_strain,ncbi_taxid
GlcNAc(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo,J5,562
GlcN(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-3)LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-3)LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
GlcN(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHepOP(a1-5)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-2)Glc(a1-2)[GlcN(b1-3)]Gal(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-2)Glc(a1-2)[GlcN(b1-3)]Gal(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
GlcNAc(a1-2)[Gal(b1-4)]Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-2)Glc(a1-2)Gal(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
GlcN(a1-2)Glc(a1-2)Gal(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)[GlcNAc(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)Kdo(a2-4)]Kdo,J5,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,J5,562
GlcNAc(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcNAc(b1-6)GlcNAc-ol,J5,562
Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcNAc(b1-6)GlcNAc-ol,J5,562
GlcNAc(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-6)GlcNAc(b1-6)GlcNAc-ol,J5,562
Glc(a1-3)LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcNAc(b1-6)GlcNAc-ol,J5,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Glc(a1-3)[GlcNAc(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)Kdo(a2-4)]Kdo,J5,562
Gal(a1-2)Gal(a1-2)[Gal(a1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,J5,562
Kdo(a2-4)[LDManHep(a1-5)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
QuiNFo(b1-4)GalNAcAN(a1-4)GalNAcAN(a1-3)GlcNAc,JC8031/pGAB2,562
Fuc(a1-3)Glc(b1-3)[GalOPyr(b1-4)GlcA(b1-3)Gal(b1-4)]Fuc(b1-4)Fuc,K12,83333
[GalOPyr(b1-4)GlcA(b1-3)Gal(b1-4)]Fuc(b1-4)FucOAc(a1-3)Glc(b1-3)Fuc,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)[Rha(a1-5)]KdoOPEtn(a2-4)]Kdo,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPEtn(a1-5)[Kdo(a2-4)[Rha(a1-5)]KdoOPEtn(a2-4)]Kdo,K12,83333
GlcNAc(a1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[GlcA(b1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Rha(a1-5)Kdo(a2-4)[Rha(a1-5)]KdoOPEtn(a2-4)]Kdo(a2-6)GlcN,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[KdoOPEtn(a2-4)]Kdo,K12,83333
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)[Rha(a1-5)Kdo(a2-4)KdoOPEtn(a2-4)]Kdo,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[GlcA(b1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)[KdoOPEtn(a2-4)]Kdo,K12,83333
