glycan_id,glycan,species,immunogenicity,inferred_origin,link
8603,GalN(a1-3)GalN(b1-6)Glc(a1-5)Kdo(a2-8)[Glc(b1-6)Glc(a1-5)][Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,['Acinetobacter_lwoffii'],,,
8604,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
8605,Araf(a1-3)Araf(a1-2)Araf(a1-2)Araf,['Daucus_carota'],,,
8606,Glc(a1-6)Glc(a1-4)Glc(a1-6)Glc(a1-4)Glc,"['Lactobacillus_reuteri', 'Oryza_sativa']",,,
8607,Glc(b1-4)[Gal(b1-2)Gal(a1-6)]Man(b1-4)Glc(b1-4)[Gal(a1-6)]Man,,,Angiosperms,
8608,GlcOAcN(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,,,Bacteria,
8609,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man,,,none,
8610,[Glc(a1-2)]Glc(a1-6)[Glc(a1-2)]Glc(a1-6)[Glc(a1-2)]Glc(a1-6)Glc,['Lactobacillus_johnsonii'],,,
8611,Man(b1-3)[Man(b1-6)Man(b1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Eukarya,
8612,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,,,Chordata,
8613,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0,,N
