Streptococcus_pneumoniae,Lactococcus_lactis,Leuconostoc_mesenteroides,Lactobacillus_helveticus,Lactobacillus_delbrueckii,Geobacillus_stearothermophilus,Staphylococcus_aureus,Streptococcus_oralis,Bacillus_subtilis,Lactobacillus_plantarum,Lactobacillus_reuteri,Streptococcus_agalactiae,Bacillus_anthracis,Lactobacillus_casei,Aneurinibacillus_thermoaerophilus,Bacillus_cereus,Lactobacillus_rhamnosus,Enterococcus_faecalis,Streptococcus_mutans,Bacillus_licheniformis,Streptococcus_mitis,Streptococcus_gordonii,Listeria_monocytogenes,Enterococcus_faecium,Bacillus_pumilus,Paenibacillus_alvei,Lactobacillus_paracasei,Anoxybacillus_tepidamans,Lactobacillus_acidophilus,Lactobacillus_sakei,Bacillus_coagulans,Paenibacillus_polymyxa,Bacillus_megaterium,Lactobacillus_johnsonii
0.646837221,0.692106611,0.658033142,0.665794329,0.694703641,0.511368762,0.680410552,0.688785007,0.721087403,0.733021371,0.58921602,0.55540962,0.582772152,0.665997543,0.66731434,0.674216588,0.544263106,0.632578782,0.77040748,0.696459766,0.70838516,0.644137655,0.782488487,0,0.615054223,0.556070864,0.731998224,0.697554075,0.523990647,0.650286958,0.719268419,0.682395914,0.745598355,0.689224059
0.566658195,0.551354642,0.554219287,0.562500271,0.572547408,0.586866076,0.535898823,0.674686534,0.569365442,0.57005008,0.535073198,0.524253687,0.631531232,0.55560565,0.676117411,0.609012789,0.533268778,0.55036886,0.792968028,0.57791009,0.595964859,0.641436387,0.708179382,0.615054223,0,0.576781316,0.57439659,0.569773931,0.549819779,0.620969037,0.681942575,0.659081159,0.651661812,0.57819739
0.545953111,0.61858815,0.623560434,0.589350386,0.589993023,0.487076173,0.564334341,0.638809049,0.633661575,0.683367063,0.568122482,0.510757583,0.517990422,0.555843588,0.628986812,0.511696372,0.478662819,0.592178147,0.7290825,0.635295267,0.611317118,0.611515697,0.654385414,0.556070864,0.576781316,0,0.635318869,0.547578814,0.512666674,0.542722887,0.666758998,0.599055192,0.667104435,0.62062433
0.564548321,0.454669996,0.48358219,0.477213373,0.475964254,0.681003057,0.582011296,0.605240506,0.522167256,0.474029556,0.532618834,0.488566322,0.705132984,0.470962812,0.679526292,0.540550066,0.536643644,0.524433825,0.749693568,0.563121727,0.524579486,0.58953256,0.724284384,0.731998224,0.57439659,0.635318869,0,0.511904583,0.568003121,0.566639896,0.629783553,0.66493746,0.60083188,0.480119409
0.506022867,0.514175476,0.520316366,0.485116383,0.465213431,0.619440199,0.50804802,0.589170572,0.526860243,0.548001288,0.512494169,0.548603664,0.658757626,0.441226688,0.619143035,0.478803332,0.498234237,0.530299986,0.707520023,0.556243443,0.499119485,0.553324114,0.649971564,0.697554075,0.569773931,0.547578814,0.511904583,0,0.569277472,0.516353057,0.617135382,0.6392919,0.556370248,0.509592693
0.545770812,0.531451941,0.531774169,0.506393178,0.522593415,0.519568529,0.581140351,0.625527241,0.59465346,0.585151788,0.477447263,0.428586488,0.56283376,0.540029749,0.674964701,0.555654856,0.480890405,0.529811897,0.773324875,0.608520644,0.595283605,0.5883496,0.716518752,0.523990647,0.549819779,0.512666674,0.568003121,0.569277472,0,0.56916705,0.637963915,0.649871542,0.635095065,0.526287346
0.532908459,0.577361921,0.533004222,0.505565691,0.502244088,0.629722126,0.548750179,0.568164366,0.536382086,0.589404499,0.509593431,0.554825246,0.623973111,0.499949803,0.611256605,0.488469526,0.468851103,0.544256624,0.654419358,0.558689296,0.547305811,0.521185217,0.618435879,0.650286958,0.620969037,0.542722887,0.566639896,0.516353057,0.56916705,0,0.599586788,0.576188883,0.562825722,0.558285722
0.557257697,0.643658428,0.614744209,0.538335155,0.581371063,0.729098346,0.635401979,0.507476768,0.605590338,0.642902701,0.561356203,0.6606633,0.739540037,0.580332441,0.71411416,0.582903651,0.583672324,0.55334496,0.691896003,0.608538822,0.596590724,0.559485615,0.759244753,0.719268419,0.681942575,0.666758998,0.629783553,0.617135382,0.637963915,0.599586788,0,0.666996204,0.584163562,0.574100268
0.594751772,0.686068625,0.639884677,0.608036749,0.624870895,0.683673921,0.614378034,0.675581023,0.620623639,0.697729082,0.635594165,0.648608265,0.689878641,0.63030404,0.732183475,0.585207416,0.596011258,0.644895009,0.757940074,0.622690777,0.61000454,0.657633364,0.648786576,0.682395914,0.659081159,0.599055192,0.66493746,0.6392919,0.649871542,0.576188883,0.666996204,0,0.626397231,0.659921653
0.592920556,0.599613469,0.57319835,0.563374797,0.551395191,0.714177974,0.580699389,0.680782122,0.570295779,0.61842347,0.565463901,0.635311572,0.738276684,0.557402638,0.704328617,0.578371668,0.587931385,0.616609981,0.730600023,0.620073721,0.547026821,0.614664518,0.673312802,0.745598355,0.651661812,0.667104435,0.60083188,0.556370248,0.635095065,0.562825722,0.584163562,0.626397231,0,0.590511068
